Departure_Station,Return_Station,,1
0007 12th & Yukon,0016 Pender & Burrard,,10
0036 Bute & Robson,0212 Union & Gore,,12
0066 Anderson & 2nd,0053 Keefer & Abbott,,109
0081 7th & Heather,0004 Yaletown-Roundhouse Station,,11
0092 Chilco & Barclay,0125 Hamilton & Robson,,38
0089 Burrard & Drake,0997 WareHouse Workshop,,1
0037 Hornby & Nelson,0024 Hornby & Pender,,264
0039 Helmcken & Burrard,0087 Broughton & Burnaby,,124
0087 Broughton & Burnaby,0024 Hornby & Pender,,81
0171 5th & Yukon,0073 Ontario & 5th,,139
0187 Bute & Davie,0008 8th & Ash,,11
0026 Beatty & Robson,0137 Beach & Seymour,,6
0016 Pender & Burrard,0150 Alexander & Main,,25
0089 Burrard & Drake,0024 Hornby & Pender,,57
0196 Drake & Hornby,0005 Dunsmuir & Beatty,,114
0148 Quebec & Milross,0073 Ontario & 5th,,17
0060 Bidwell & Burnaby,0001 10th & Cambie,,8
0174 1st & Ontario,0069 7th & Granville,,22
0030 Abbott & Cordova,0082 Richards & Davie,,44
0088 Harwood & Bute,0065 Cypress & Cornwall,,7
0174 1st & Ontario,0167 Cordova & Columbia,,142
0196 Drake & Hornby,0099 Vancouver Art Gallery - North Plaza,,301
0031 Morton & Denman,0082 Richards & Davie,,21
0203 Pine & 14th,0130 Heather & 16th,,1
0092 Chilco & Barclay,0073 Ontario & 5th,,6
0205 Pine & 10th,0008 8th & Ash,,11
0092 Chilco & Barclay,0093 Chilco & Robson,,34
0196 Drake & Hornby,0025 Homer & Robson,,43
0036 Bute & Robson,0171 5th & Yukon,,11
0174 1st & Ontario,0081 7th & Heather,,120
0084 Sunset Beach West,0004 Yaletown-Roundhouse Station,,32
0089 Burrard & Drake,0015 Granville & Georgia,,64
0015 Granville & Georgia,0026 Beatty & Robson,,26
0041 Cardero & Robson,0039 Helmcken & Burrard,,29
0601 Olympic Village Station,0004 Yaletown-Roundhouse Station,,14
0041 Cardero & Robson,0201 Shaw Tower,,75
0087 Broughton & Burnaby,0052 Cambie & Water,,4
0212 Union & Gore,0154 Kitsilano Beach Park,,4
0050 Bute & Comox,0019 Robson & Hornby,,34
0140 Burrard & 7th,0125 Hamilton & Robson,,2
0176 10th & Ontario,0133 Ontario & 16th,,41
0082 Richards & Davie,0078 Nelson & Mainland,,13
0060 Bidwell & Burnaby,0004 Yaletown-Roundhouse Station,,46
0009 Spyglass & Seawall,0011 Ontario & Seawall,,158
0115 Cypress & 16th,0011 Ontario & Seawall,,4
0138 Richards & Helmcken,0012 Dunsmuir & Richards,,167
0048 Comox & Broughton,0064 Expo & Smithe,,6
0071 14th & Granville,0080 Laurel & Broadway,,15
0136 David Lam Park - West,0017 Marinaside & Davie,,66
0047 Chilco & Beach,0108 Cypress & 1st,,10
0204 York & Yew,0024 Hornby & Pender,,125
0196 Drake & Hornby,0167 Cordova & Columbia,,16
0036 Bute & Robson,0002 Burrard Station,,67
0159 Vine & 4th,0066 Anderson & 2nd,,59
0196 Drake & Hornby,0064 Expo & Smithe,,14
0087 Broughton & Burnaby,0002 Burrard Station,,54
0159 Vine & 4th,0211 14th & Alder,,78
0087 Broughton & Burnaby,0073 Ontario & 5th,,3
0082 Richards & Davie,0028 Davie & Beach,,39
0187 Bute & Davie,0002 Burrard Station,,138
0039 Helmcken & Burrard,0204 York & Yew,,56
0058 Homer & Smithe,0167 Cordova & Columbia,,7
0058 Homer & Smithe,0058 Homer & Smithe,,1
0048 Comox & Broughton,0150 Alexander & Main,,2
0005 Dunsmuir & Beatty,0079 Nelson & Richards,,133
0138 Richards & Helmcken,0083 Aquatic Centre,,31
0138 Richards & Helmcken,0138 Richards & Helmcken,,1
0174 1st & Ontario,0196 Drake & Hornby,,142
0037 Hornby & Nelson,0065 Cypress & Cornwall,,137
0025 Homer & Robson,0167 Cordova & Columbia,,8
0601 Olympic Village Station,0011 Ontario & Seawall,,67
0031 Morton & Denman,0030 Abbott & Cordova,,71
0173 Columbia & 2nd,0601 Olympic Village Station,,126
0037 Hornby & Nelson,0088 Harwood & Bute,,132
0039 Helmcken & Burrard,0027 Beatty & Nelson,,17
0187 Bute & Davie,0028 Davie & Beach,,42
0066 Anderson & 2nd,0110 5th & Arbutus,,36
0159 Vine & 4th,0154 Kitsilano Beach Park,,49
0115 Cypress & 16th,0083 Aquatic Centre,,5
0036 Bute & Robson,0012 Dunsmuir & Richards,,85
0054 Expo & Carrall,0017 Marinaside & Davie,,122
0054 Expo & Carrall,0107 8th & Ontario,,23
